,method-balance,n_features,optimal-depth,pre@recall50
9,pca_rbf-spearman,3,2,0.07127911842655879
12,pca_rbf-pearson,4,2,0.07127911842655879
13,pca_rbf-spearman,4,2,0.07127911842655879
16,pca_rbf-pearson,5,2,0.07127911842655879
17,pca_rbf-spearman,5,2,0.07127911842655879
20,pca_rbf-pearson,6,2,0.07127911842655879
21,pca_rbf-spearman,6,2,0.07127911842655879
24,pca_rbf-pearson,7,2,0.07127911842655879
8,pca_rbf-pearson,3,2,0.07127911842655879
28,pca_rbf-pearson,8,2,0.07127911842655879
1,pca_rbf-spearman,1,2,0.07127911842655879
89,pca_poly-spearman,3,2,0.07127911842655879
88,pca_poly-pearson,3,2,0.07127911842655879
85,pca_poly-spearman,2,2,0.07127911842655879
81,pca_poly-spearman,1,2,0.07127911842655879
84,pca_poly-pearson,2,2,0.07127911842655879
37,pca_rbf-spearman,10,2,0.07127911842655879
36,pca_rbf-pearson,10,2,0.07127911842655879
33,pca_rbf-spearman,9,2,0.07127911842655879
32,pca_rbf-pearson,9,2,0.07127911842655879
29,pca_rbf-spearman,8,2,0.07127911842655879
125,pca_10-spearman,2,5,0.0674650225278634
133,pca_10-spearman,4,5,0.0674650225278634
149,pca_10-spearman,8,5,0.0674650225278634
129,pca_10-spearman,3,5,0.0674650225278634
153,pca_10-spearman,9,5,0.0674650225278634
121,pca_10-spearman,1,5,0.0674650225278634
137,pca_10-spearman,5,5,0.0674650225278634
157,pca_10-spearman,10,5,0.0674650225278634
145,pca_10-spearman,7,5,0.0674650225278634
141,pca_10-spearman,6,5,0.0674650225278634
134,pca_10-ANOVA,4,6,0.06550687285223368
146,pca_10-ANOVA,7,6,0.0654928065278076
130,pca_10-ANOVA,3,6,0.0654928065278076
131,pca_10-RFECV,3,6,0.0654928065278076
126,pca_10-ANOVA,2,6,0.0654065084308882
154,pca_10-ANOVA,9,6,0.06539948453608248
155,pca_10-RFECV,9,6,0.06539948453608248
158,pca_10-ANOVA,10,6,0.06539948453608248
142,pca_10-ANOVA,6,6,0.06539948453608248
147,pca_10-RFECV,7,6,0.06539246214968324
138,pca_10-ANOVA,5,6,0.06538544127120464
159,pca_10-RFECV,10,6,0.06531313782361156
139,pca_10-RFECV,5,6,0.06531313782361156
123,pca_10-RFECV,1,6,0.06531313782361156
135,pca_10-RFECV,4,6,0.06531313782361156
143,pca_10-RFECV,6,6,0.0653061224489796
151,pca_10-RFECV,8,6,0.06529910858124799
150,pca_10-ANOVA,8,6,0.06529910858124799
122,pca_10-ANOVA,1,6,0.06529910858124799
127,pca_10-RFECV,2,6,0.06529910858124799
132,pca_10-pearson,4,2,0.06102204408817635
148,pca_10-pearson,8,2,0.06102204408817635
152,pca_10-pearson,9,2,0.06102204408817635
128,pca_10-pearson,3,2,0.06102204408817635
124,pca_10-pearson,2,2,0.06102204408817635
136,pca_10-pearson,5,2,0.06102204408817635
156,pca_10-pearson,10,2,0.06102204408817635
144,pca_10-pearson,7,2,0.06102204408817635
120,pca_10-pearson,1,2,0.06102204408817635
140,pca_10-pearson,6,2,0.06102204408817635
