,id,IP_ES_25_N1,Z3_IB_4_N1,Z1_IB_10_N1,Z1_IB_5_N1,Z3_IB_8_N1,ECI_IB_4_N1,ECI_IB_5_N1,Gs(U)_IB_12_N1,Gs(U)_IB_68_N1,Gs(U)_IB_58_N1,Gs(U)_IB_60_N1,Z1_NO_sideL35_M,HP_NO_sideL35_CV,Z1_NO_sideR35_CV,Pb_NO_sideR35_S,IP_NO_sideL35_SI71,Z1_NO_PRT_CV,Z2_NO_AHR_CV,Gs(U)_NO_ALR_SI71,Z3_NO_UCR_S,Z3_NO_UCR_N1,ECI_NO_UCR_CV,Pa_NO_BSR_SI71,ISA_NO_NPR_S,Z3_NO_NPR_V,IP_NO_PLR_S,Pb_NO_PCR_V,ECI_NO_PCR_CV
Gs(U)_IB_58_N1,0.014390980894522658,-0.005743234458307481,0.009366364125662474,0.014388875061414015,0.010306703687247506,0.010269591650399422,0.027223196652789067,0.024182880046262727,0.0577592532722473,0.21916666326172818,1.0,0.5523018407216213,-0.002779962227186427,-0.004022738094369864,-0.012852348050827085,-0.026892913011696228,-0.028039948356803436,-0.02726008614726934,0.008363162303898573,-0.19996080470177868,0.00812744170032479,0.0007138457979537013,0.004563641142506743,0.0009021394231609092,0.2637806521565974,0.034122161447337956,0.09522082736326502,-0.04587813805181669,-0.04589339635317817
Gs(U)_IB_60_N1,0.011508751966475179,0.002577042301473993,0.007080189258104157,0.017028876685993483,0.01124837667630314,0.018806637938919967,0.02432513783705902,0.027199267524726265,0.06196922324615013,0.216400338677918,0.5523018407216213,1.0,-0.005755534592404237,0.0034943238498501023,-0.012906405747466265,-0.024627428604211788,-0.0322877718644098,-0.015029997799695827,-0.0021705302948414,-0.2219808791807722,0.004456283677955046,-0.006854726250041801,-0.0009028558142089222,0.00614243565051854,0.2710085866100665,0.03170925002723458,0.09349929491157515,-0.04585765284277539,-0.045877422987392884
Z1_NO_sideL35_M,-0.005980038253600485,-0.014275196059112401,-0.009568739107756343,-0.007007112477640696,-0.00788278972230399,-0.00872318089790027,-0.002455805093996922,-0.007037776252908644,-0.008904859106145361,-0.00511858046862947,-0.002779962227186427,-0.005755534592404237,1.0,0.0009159200787066406,0.00028324581087683806,-0.00016697451149751732,0.014935824328178023,0.0003203428668350557,-0.0018408053832938234,0.0049464993798180625,-0.0005063252221058852,0.0006235797544258784,0.000976904798660508,0.00032029827266078913,-0.021719604488970066,0.013469390160564454,7.9265432774614e-05,0.0010754279773181226,0.0010758247587381625
HP_NO_sideL35_CV,-0.0024576685327096664,-0.0010052091686043592,-0.00019856112058491788,0.00013777243215051186,3.335636539603923e-05,0.0006316094737546788,0.00317989056047082,0.0031416181474144315,-0.0004367333496517751,0.014492140964539033,-0.004022738094369864,0.0034943238498501023,0.0009159200787066406,1.0,-2.298690837495712e-06,0.0019448995464238859,-0.006675303681608107,-3.7417221099983246e-06,9.79694115958572e-06,-0.0019039869820443012,1.701960435219669e-05,8.920685551895886e-05,3.294577240941005e-06,-1.3349265266324062e-05,-0.008511167940103174,0.014068910292142169,-0.007527179326220092,-1.434218294919351e-05,-2.443348971072831e-05
Z1_NO_sideR35_CV,0.003741360815836274,0.0038634754215570006,0.0015795365016820547,0.001283328023190765,0.000795630381873912,0.0020028869088611423,0.006750588025860506,0.005121754162868657,0.003363850509738733,-0.012444621547202274,-0.012852348050827085,-0.012906405747466265,0.00028324581087683806,-2.298690837495712e-06,1.0,-0.03124243128430449,-0.004917258486339363,-6.059181704747115e-05,0.000158647395447431,0.024365000135002358,-0.0001235736049250447,3.8187847500870696e-05,-5.686558237320213e-05,-0.00020072328829116601,-0.022985339622087347,0.012489686886733548,-8.330079792132723e-05,-0.00023250857994778102,-0.00023090570082946973
Pb_NO_sideR35_S,-0.01216193698512455,0.0021756179287922665,-0.0021109221157107378,0.006541136185232118,0.0031024451464059643,-0.0010603477065592687,-0.01711306134185978,-0.011462359873102644,0.0011831344481085986,-0.01947738027411352,-0.026892913011696228,-0.024627428604211788,-0.00016697451149751732,0.0019448995464238859,-0.03124243128430449,1.0,-0.012678020430468626,0.0009114203006932935,-0.003223026709718416,0.0024813309105599273,0.009717645587097984,0.007194920917579821,-0.006001972072714936,0.039353172730342466,0.04608970946599206,-0.05494033611257506,-0.04466327348189251,0.008197124987670978,0.008197490811710428
IP_NO_sideL35_SI71,-0.012571174683207224,0.0004258935876118564,-0.5435276566979134,-0.6385288419072882,-0.6061476560195014,-0.5838458326345407,-0.4177060958850838,-0.4140072305086909,-0.2573170730500288,-0.04023633235397298,-0.028039948356803436,-0.0322877718644098,0.014935824328178023,-0.006675303681608107,-0.004917258486339363,-0.012678020430468626,1.0,-0.0022160782752621987,0.0037908991011233345,0.4607601597414769,0.060094108082448555,0.027688595956210066,0.01166917218673801,0.06855932752237842,-0.3637371662665118,0.20077502465133087,0.0005338132214865662,0.05582843292462617,0.05584808100546518
Z1_NO_PRT_CV,-0.005397973935383827,0.00215677110834983,0.0014769270023794062,0.0016783341730013058,0.002186674031366606,0.0036430897809452247,-0.005269403335054988,-0.002483226480593178,0.0045912727611946815,-0.019239667768296005,-0.02726008614726934,-0.015029997799695827,0.0003203428668350557,-3.7417221099983246e-06,-6.059181704747115e-05,0.0009114203006932935,-0.0022160782752621987,1.0,0.00025824023694219375,0.0030518099936070377,-0.00023423725315288625,0.000863134722865915,-9.467913688743695e-05,-0.0003190549298699693,-2.4622467333836735e-05,-0.01284393552258337,0.003422874596449312,-0.00037826266048799,-0.0003714651160215498
Z2_NO_AHR_CV,0.004204971687844592,-0.0036619693540690733,-0.004921345031543325,-0.004445143746023733,-0.00421814043311549,-0.004801981141348966,-0.005367109799336865,-0.006741589535117406,0.005306408073148083,0.0046196565407164115,0.008363162303898573,-0.0021705302948414,-0.0018408053832938234,9.79694115958572e-06,0.000158647395447431,-0.003223026709718416,0.0037908991011233345,0.00025824023694219375,1.0,0.007959934624639097,0.0007418408084349243,-7.366133660632317e-06,0.0002591846667383182,0.0008391125703712316,-0.003501104891757812,0.012201502718122089,0.010699061882841882,0.0009912063054311462,0.0009872430033390574
Gs(U)_NO_ALR_SI71,-0.01548350001952479,-0.017975911636037727,-0.3405249136939704,-0.40383715437772744,-0.38603260011723417,-0.3752767626589389,-0.28110407126573,-0.28012293080281014,-0.17954934859547483,-0.21377113272439538,-0.19996080470177868,-0.2219808791807722,0.0049464993798180625,-0.0019039869820443012,0.024365000135002358,0.0024813309105599273,0.4607601597414769,0.0030518099936070377,0.007959934624639097,1.0,0.05547746028407145,0.03669545523238134,0.02815177794370633,0.04656204357819324,-0.5177521551853463,0.2641367848549655,0.05015447919351697,0.06262934314249959,0.0626602965538112
Z3_NO_UCR_S,-0.004037736771294064,-0.0019340302954790486,-0.010365704011543424,-0.018892756148739243,-0.0164704814146313,-0.010300144723205285,-0.010883218955629699,-0.009132395093187558,-0.003374723672804927,0.0039770226751105475,0.00812744170032479,0.004456283677955046,-0.0005063252221058852,1.701960435219669e-05,-0.0001235736049250447,0.009717645587097984,0.060094108082448555,-0.00023423725315288625,0.0007418408084349243,0.05547746028407145,1.0,0.25034815984754644,0.353501136298889,0.16292245821765716,-0.009696232965358266,-0.04086733532743303,0.056963552660584026,-0.000987178607426515,-0.0009782891697839378
Z3_NO_UCR_N1,-0.005010903840864002,0.00015062096571850787,-0.00242292750428608,-0.0031064123880907056,-0.003006047085467907,-0.001748362528569087,-0.0008864011488039853,-0.005096702216420774,0.0009564752046726595,0.0028407562194176675,0.0007138457979537013,-0.006854726250041801,0.0006235797544258784,8.920685551895886e-05,3.8187847500870696e-05,0.007194920917579821,0.027688595956210066,0.000863134722865915,-7.366133660632317e-06,0.03669545523238134,0.25034815984754644,1.0,0.7035934050326522,3.081503741007231e-05,0.014828354484472638,-0.027240977699765932,0.04834234842918798,0.002276344701957008,0.0022871932190963768
ECI_NO_UCR_CV,0.0010568893339529307,0.0038033746908969824,0.0031104906818149964,0.0016045409243839544,0.001581375093916904,0.004018628050060952,0.003173124947398004,-7.0472289093667955e-06,0.004461378649095601,0.0045949097576117705,0.004563641142506743,-0.0009028558142089222,0.000976904798660508,3.294577240941005e-06,-5.686558237320213e-05,-0.006001972072714936,0.01166917218673801,-9.467913688743695e-05,0.0002591846667383182,0.02815177794370633,0.353501136298889,0.7035934050326522,1.0,-0.000260960453173168,0.011273566829914114,-0.03862336890687949,0.030470659058339743,-0.00036787739781822407,-0.0003600468201731604
Pa_NO_BSR_SI71,0.006227614413522041,-0.0011796270435726122,-0.024830825446606662,-0.0346592131101426,-0.030816988442658025,-0.023194175139083426,-0.010342316992416088,-0.009073951753039529,0.002909763661219578,-0.017845467873951477,0.0009021394231609092,0.00614243565051854,0.00032029827266078913,-1.3349265266324062e-05,-0.00020072328829116601,0.039353172730342466,0.06855932752237842,-0.0003190549298699693,0.0008391125703712316,0.04656204357819324,0.16292245821765716,3.081503741007231e-05,-0.000260960453173168,1.0,-0.05467685729623773,0.015547852696179577,0.05388879454399259,-0.001230591156662877,-0.001220824985804469
ISA_NO_NPR_S,0.008500872348835857,0.006352966895380195,0.37574877087533753,0.41366773976017335,0.409933068649981,0.3981165118138635,0.2615173052697317,0.2565348774157063,0.24634399723046013,0.28325249601177704,0.2637806521565974,0.2710085866100665,-0.021719604488970066,-0.008511167940103174,-0.022985339622087347,0.04608970946599206,-0.3637371662665118,-2.4622467333836735e-05,-0.003501104891757812,-0.5177521551853463,-0.009696232965358266,0.014828354484472638,0.011273566829914114,-0.05467685729623773,1.0,-0.2630217621940284,-0.06959676279776182,-0.04727583294476692,-0.047302622900165035
Z3_NO_NPR_V,0.013609002673262097,0.008537350369125202,-0.20194385270857287,-0.19151656265299963,-0.1901428590798089,-0.20776293970251225,-0.11231377425645836,-0.1079880098188566,0.035191496986405654,0.013314951839230734,0.034122161447337956,0.03170925002723458,0.013469390160564454,0.014068910292142169,0.012489686886733548,-0.05494033611257506,0.20077502465133087,-0.01284393552258337,0.012201502718122089,0.2641367848549655,-0.04086733532743303,-0.027240977699765932,-0.03862336890687949,0.015547852696179577,-0.2630217621940284,1.0,0.07454343341551237,0.0008073061723916779,0.0007938694347107198
IP_NO_PLR_S,0.035975909569753606,-0.0536662922042429,0.0031896586993320547,-0.03176507023154275,-0.0333980331742771,0.01886094063573073,-0.006110633085460578,0.0011115198328411169,0.10361026192624749,0.09637593140669821,0.09522082736326502,0.09349929491157515,7.9265432774614e-05,-0.007527179326220092,-8.330079792132723e-05,-0.04466327348189251,0.0005338132214865662,0.003422874596449312,0.010699061882841882,0.05015447919351697,0.056963552660584026,0.04834234842918798,0.030470659058339743,0.05388879454399259,-0.06959676279776182,0.07454343341551237,1.0,-0.017155820586539642,-0.017136776879301867
Pb_NO_PCR_V,-0.005875226742533915,-0.00019459615802833855,-0.04540931751979856,-0.0554501821882048,-0.04926097815472783,-0.05619205046901734,-0.04126221861125792,-0.04515375037616993,-0.02773203404650943,-0.04639171299614593,-0.04587813805181669,-0.04585765284277539,0.0010754279773181226,-1.434218294919351e-05,-0.00023250857994778102,0.008197124987670978,0.05582843292462617,-0.00037826266048799,0.0009912063054311462,0.06262934314249959,-0.000987178607426515,0.002276344701957008,-0.00036787739781822407,-0.001230591156662877,-0.04727583294476692,0.0008073061723916779,-0.017155820586539642,1.0,0.9999999356867206
ECI_NO_PCR_CV,-0.005879640568415183,-0.00019270861558744957,-0.045421057859497335,-0.05546008296634443,-0.049270908344190914,-0.05620123379755277,-0.04126957531039337,-0.04516099060161085,-0.02775074067409327,-0.04641254262494534,-0.04589339635317817,-0.045877422987392884,0.0010758247587381625,-2.443348971072831e-05,-0.00023090570082946973,0.008197490811710428,0.05584808100546518,-0.0003714651160215498,0.0009872430033390574,0.0626602965538112,-0.0009782891697839378,0.0022871932190963768,-0.0003600468201731604,-0.001220824985804469,-0.047302622900165035,0.0007938694347107198,-0.017136776879301867,0.9999999356867206,1.0
